No.,Entity_Name,Region,Description,Business,Services,Website,Address,Contact_Person,Tel,Fax,Email,Others,Role1,Role_Description1,Product1,Quantity1,Price1,Role2,Role_Description2,Product2,Quantity2,Price2,Role3,Role_Description1,Product3,Quantity3,Price3
40,"KSD Interfoods Vietnam Co., Ltd.",Viet Nam,"KSD Interfoods Vietnam Co., Ltd

Specializing in the production and export of Canned Tuna!

Greetings!

KSD INTERFOODS VIETNAM CO., LTD is just a young company in the field of production and export of canned tuna. We are a team of enthusiastic and dynamic people who have great passions for fish canning.

We, fortunately, are learned and trained by a very experienced expert from Thailand (Exuberant Co., Ltd) who has been 30 years in the canning business. We are pleased and proud of bringing the advanced tuna production technology to Vietnam. We understand the intensive selection of fresh raw materials and specific traits of each market, which is important for us in the implementation of quality control.

Management Image
We produce the products that we are happy to feed ourselves and our families. We welcome and value clients/partners who are doing the business seriously and responsibly. Eventually, nothing is more worthy than mutual support for a win-win relationship.

We trust in honesty, and transparency, and are eager for discussions that bring mutual benefits.","Producer, Distributor",Manufacturer/ OEM,http://ksdvietnam.com,"02 Doc Lap Street, Tan Thanh Ward, Tan Phu District, Hochiminh City, Vietnam

Office: Thai An TMT Building (Unit 12bis01), 2290 National Route 1A, Trung My Tay Ward, District 12, Hochiminh City",Jenny Designation: Vice Director,+84 28 6273 3430,+84 28 6273 3430,"Email: info@ksdvietnam.com (Ms. Mary)

Email: ynhu@ksdvietnam.com (Ms. Jenny - Sale Manager)","Established: 2013
Approximate Annual Sales: 1 million to 5 million USD
Certifications And Standards: HACCP, IFS, EU cert, ISO, HALAL, KOSHER, FDA",Supplier,,"I. Seafood
1. Canned Bonito
2. Canned Tongol Tuna
3. Canned Skipjack Tuna
4. Canned Mackerel",,,,,,,,,,,,
41,CV. Putra Tello Mandiri,Indonesia,"CV. Putra Tello Mandiri domiciled in Medan City, ID.
To engage in the activity of fisheries and in order to achieve the said purpose and objective. The company implement and execute is business activity in Fisheries and Agro industry deals in : Exsport of Sea cucumber, Betel nuts, and Cloves.

CV. Putra Tello Mandiri is a company engaged in Fisheries and Agro industry. To achieve this objective, the company runs several business activities. Facing challenges in the future, the company focus its business strategy on effort to increase productivity and effieciency, as well as diversify business in prospective sectors related to core business Fisheries and Agro industry.

Vision :
To be the most Productive and Innovative Fisheries Company in the World.

Mission :
To be the Role Model and Contributes to the Nation's Development and Prosperity.
",Dtributor,Distribution Service,,"Cv. Putra Tello Mandiri
Pukat Banting 2 Street No. 54
Medan 20225
Indonesia Indonesia",Sherry Designation: Sales,+62 81260000825,,,"Established: 2009
Approximate Annual Sales: 1 million to 5 million USD
Certifications And Standards: HACCP",Supplier,,"I. Seafood 
1. Sea Cucumber
II. Spices
1. Cloves
III. Fruit and Vegetables
1. Betel Nuts",,,,,,,,,,,,
42,Chun Cheng Fishery Enterprise Pte Ltd.,Singapore,,"Producer, Distributor","1. Seafood Processing
2. Trading ",,"No. 1, Second Chin Bee Road
Singapore 618768
Singapore Singapore",,,,,"Established: 1986 
Standards: ISO 22000:2005",Supplier,,"I. Seafood (Frozen)
1. Swordfish
2. Oil fish
3. Tuna (bigeye & yellwofin)
4. Shark
5. Marlin
6. Mackerel",,,Buyer,,"I. Seafood (Frozen)
1. Swordfish
2. Oil fish
3. Tuna (bigeye & yellwofin)
4. Shark
5. Marlin
6. Mackerel",,,,,,,
43,Pt. Samudra Kencana Mina,Indonesia,,Distributor,Distribution Service,,"Central Square E-31
Jl. Ahmad Yani 41-43, Gedangan
Sidoarjo 61256
East Java Indonesia",,,,,"Established: 1996 
Standards: EU APPROVAL, USFDA CERTIFICATE, RUSIA APPROVAL NO",Supplier,,"I. Seafood 
i. Frozen Fish:
1. Oil Fish
2. Milkfish (Chanos Chanos)
3. Red Mullet
4. Spanish Mackerel (Whole, R, Steaks)
5. Wahoo
6. Red Snapper
7. Grouper
8. Job Fish
9. Sailfish
10. Mahi Mahi
11. Swordfish
12. Marlin
13. Blue Shark (Whole, R, L)
14. Lizardfish (Whole, R)
15. Barramundi
ii. Frozen Cephalopods:
1. Octopus (Flower Type & Ball Packed)",,,,,,,,,,,,
44,Seven Star Ocean Fisheries Ltd.,China,,Distributor,Distribution Service,,"Room 302, Bldg 2#, Shuguang Yuan, Jiaoji
Taizhou 318000
Zhejiang China",,,,,"Standards: HACCP, MSC, BRC, FDA",Supplier,,"I. Seafood
1. Mackerel
2. Tilapia 
3. Squid
4. Pollock
5. Salmon
6. Cod
7. Bonito",,,Buyer,,"I. Seafood
1. Mackerel
2. Tilapia 
3. Squid
4. Pollock
5. Salmon
6. Cod
7. Bonito",,,,,,,
45,Ahcof,China,,Distributor,Seafood inspection,,"Hefei 231619
China",,,,,"Established: 2006 
Standards: BRC, MSC",Supplier,,"I. Seafood
1. Salmon
2. APO
3. Shrimp
4. Tilapia
5. Mackerel",,,Buyer,," Salmon and APO (HG, semi dressed and WR)",,,,,,,
46,Aimbest-Deleon Dates Company,Philippines,,"Producer, Distributor","1. Seafood Processing
2. Distribution ",,"Lot 306, Nlsa Lagao
General Santos 9500
Mindanao Philippines",,,,,Established: 2010,Supplier,,"I. Seafood
i. Value Add 
1. Tuna steak burger patties, pure and with asparagus",,,Buyer,,Frozen tuna,,,,,,,
47,Bai Xian Wu Enterprise Co. Ltd.,Taiwan,,Distributor,Distribution Service,,"No. 32 Feng Yu 3Rd, Chien Chen Dist
Kaohsiung 80672
Taiwan",,,,,,Supplier,,"I. Seafood
i. Frozen Squid:
1. Ilex Squid (Whole Round)
2. Ilex Squid (Cleaned Tubes)

ii. Frozen Fish
1. Pacific Saury
2. Oil Fish
3. Mackerel
4. Horse Mackerel
5. Bullet Tuna
6. Tilapia

iii. Seafood Mix
1. Seafood (General)
2. Prepared Seafood

iv. Value Add 
1. Seafood Salad",,,Buyer,,"I. Seafood
1.Female capelin
2. Atlantic mackerel
3. Trout salmon
4. King crab leg
5. Scallop",,,,,,,
48,"To Food Co., Ltd.",Japan,,Distributor,Distribution Service,,"Hatchobori
Tokyo 104
Chuo-Ku Japan",,,,,Established: 1987,Supplier,,"I. Seafood
i. IQF prepared seafood
ii. Processed Seafood
1. Fried Japanese fish",,,,,,,,,,,,
49,Filflavors Foods,Philippines,,Distributor,Distribution Service,,"15 Lantana St. Brgy Mariana, New Manila
Quezon 1112
Metro Manila Philippines",,,,,,Supplier,,"I. Seafood
i. Processed Seafoood
1. Bottled sardines
2. Bottled seafoods",,,,,,,,,,,,
50,TRADINGCTH LLC,United States,"Company Overview
Exporting more than 300,000 tons to Europe and the US yearly
5,000sqm factory|More than 300 skilled workers|

 

Exporting More than 300,000 Tons to Europe and the US
TRADINGCTH LLC is a professional supplier of frozen food, agricultural products, fresh fruits, cosmetic products, and more. We have a 5,000sqm factory with more than 300 skilled workers. Every year, we can export more than 300,000 tons to Europe and the US. Our products are of good quality, which can make customers satisfied.

Pioneering Excellence in Wholesale Trading
In the dynamic world of commerce, where precision and quality are non-negotiable, TRADINGCTH LLC stands as a beacon of trust and innovation in the wholesale trading industry. Established with a vision to redefine the standards of wholesale, we are more than just a trading company—we are your strategic partners in prosperity.

Our Mission
At TRADINGCTH LLC, our mission is to seamlessly connect global producers with businesses, ensuring that the very best of the world's goods are just a handshake away. We strive to foster robust partnerships and nurture an ecosystem where quality and value are paramount.

Our Advantages
Backed by years of experience and an unwavering commitment to ethical trading, we pride ourselves on a stellar track record of successful partnerships based on trust and transparency. Our extensive network spans continents, giving us the unique ability to source and deliver a diverse range of products tailored to meet the specific needs of various industries. Embracing cutting-edge technology, we streamline every facet of the trading process, providing our partners with market insights and solutions that propel their businesses forward. Understanding that every business is unique, we tailor our services to align with our clients' goals, ensuring satisfaction and success at every turn.

Join Us Now
In every transaction and interaction, TRADINGCTH LLC embodies reliability and excellence. We are committed to not just meeting, but exceeding expectations, nurturing long-term relationships that are as rewarding as they are enduring. Join us on this journey towards a future brimming with potential. At TRADINGCTH LLC, your success is our ultimate trade secret.",Distributor,"1. Wholesaler
2. Manufacturer
3. Trading Company",http://www.globalsources.com/tradingcthllc.co,"City: Tampa
Region: United States
State / Province: ","Mr. Martinez Jony
CEO",,,,"Established: 2015
Total Annual Sales: US$300,000 to 399,999
Export Percentage: 85 percent to 89 percent",Supplier,,"I. Seafood(Frozen)
i.Fish(Whole/Fillet)
1. Salmon
2. Whitebait
3. Horse Mackerel, Pacific Mackerel, Tuna,. Trout, Salmon, Bonito, Tilapia 
4. Squid
5. Hake fish
6. Sea Bream Fish
7.Sea Bass
8. Sardine
9. Red Snapper
ii.Shrimp
iii. Crab
iv. Shellfish
II. Fresh fruits (44) and Fresh vegetables (99)

III. Poultry and Livestock (28)

IV. Chemicals (32)

V. Metals (16)

VI. Containers (14)

VII. Frozen Foods (34)

VIII Agricultural (106)
Coffee, Wheat....

IX. Beauty (1)

X. Electronics (4)","1. Best Selling Frozen Chum Salmon Fillets :  US$ 640 / 1 Metric Tonne     100 Metric Tonnes Minimum order
2. Premium Quality Fresh Monkfish Tail Fillets For Sell: US$ 285 / 1 Ton (US)  100 Tons (US) Minimum order
3. Hot Sell Frozen Monkfish/Monkfish Fillet 9 lbs | Fresh Fish | Fresh Seafood | 18 pcs: US$ 270 / 1 Ton (US)   100 Tons (US) Minimum order
4.Hot Sell Bulk Stock of Frozen Kipper I Frozen Atlantic Cod Fillets | Whole Fish Supply Netherlands Fast Shippin: US$ 370 / 1 Kilogram  100 Kilograms Minimum order
5. Best Bay Frozen Kipper/Fresh Hake fish / Frozen Hake Fish/Frozen Pacific Hake Fillets Fish: US$ 690 / 1 Kilogram
100 Kilograms Minimum order
6. Top Quality Fresh Frozen John Dory Fillet For Sell: US$ 5 / 1 Kilogram  100 Kilograms Minimum order
7. Healthy Frozen John Dory fillets skin on/off frozen fish fillets: US$ 6 / 1 Kilogram  100 Kilograms Minimum order
8. For Sell Frozen Huss/Wild Caught Huss / Rock, 2 Portions: US$ 8 / 1 Kilogram   100 Kilograms Minimum order
9. Best Selling Frozen Huss/Wild Caught Huss / Rock, 2 Portions: US$ 9 / 1 Kilogram  100 Kilograms Minimum order
10. Super Sell fresh frozen skin on hoki fillet: US$ 4685 / 1 Ton (US)   100 Tons (US) Minimum order
11. High Quality Frozen Hoki/Frozen Hoki Fillet: US$ 4690 / 1 Ton (US)  100 Tons (US) Minimum order
12. Good Sell Premium Frozen New Stock Sea fresh halibut Ready for Export: US$ 340 / 1 Ton (US)  100 Tons (US) Minimum order
13. Wholesale Frozen Haddock Fillet With Good Quality: US$ 1990 / 1 Ton (US)  100 Tons (US) Minimum order
14. For Sell Halal Fresh Frozen Haddock Fillet, Skin on, Skinless: US$ 7 / 1 Ton (US)  100 Tons (US) Minimum order
15. Super Quality Featured Seafood Dover Sole Fillet - 2ct: US$ 47 / 1 Ton (US)  Wholesale Salmon Fish Frozen Fillet Fresh And 16. Frozen Atlantic Salmon Fish/Whole Frozen Salmon/Salmon Head For Sal100 Tons (US) Minimum order: US$ 410 / 1 Metric Tonne   100 Metric Tonnes Minimum order 
17. Super Fresh Salmon Fish Frozen Fillet Fresh And Frozen Atlantic Salmon Fish/Whole Frozen Salmon/Salmon: US$ 290 / 1 Metric Tonne   100 Metric Tonnes Minimum order",,,,,,,,,,,
51,Trade Lane Inc,United States,"Company Overview
Operating since 2012
ISO 9007 certification|Over 10 years of experience|

About Us
Established in 2012, Trade Lane Inc operates as a distinguished exporter of FMCG (Fast Moving Consumer Goods), specializing in product distribution, merchandising, trading partnerships, and customized product sourcing. As an ISO 9008-certified company, we are committed to upholding the highest standards of quality and service excellence.

Why Choose Us
At Trade Lane Inc, we pride ourselves on our ability to procure goods from European, American, and Asian markets at competitive prices, meeting the ever-growing global demand for consumer products. Our unwavering focus on sourcing quality goods at affordable rates sets us apart in the industry.

Our Product Range
As a premier trading company, we offer an extensive array of products across various sectors, including but not limited to:

Frozen meat cuts (beef, pork, chicken)",Distributor,"1. Exporter
2.  Retailer
3. Trading Company
4. Wholesaler
5.  Agent",http://www.globalsources.com/tradelane.co,"City: #2001 Houston
Region: United States
State / Province: Texas
Zip /Postal Code: 77036
Address: 6000 Reims Rd",Mr. Bilal Kaawach,,,,"Established: 2012
Total Annual Sales: US$50,000 to 99,000
Export Percentage: 80 percent to 84 percent",Supplier,,"I. Seafood
i. Fish
1. Frozen Horse Mackerel, Salmon, Eel, Sea Bass Globefish & Tuna Fish
2. Frozen Sardine Fish and Frozen Horse Mackerel
3. frozen Silver Sillago (Lady Fish)
4.  Frozen CatfishClick
ii. Shrimp
iii. Crab
iv. Frozen Abalone shell

II. Poultry and Livestock 
1. Pork
2. Sheep
3. Chicken
4. Goat

III. Fruit and Vegetables
i. Fruit
1. Lemon
2. Orange
3. Strawberry
4. Canned yellow peach in light syrup
5. CANNED PIECES PINEAPPLE

ii. Vegetable
1. Peeled Garlic
2. Canned tomato paste

IV.  Agricultural
1. Rice
2. Pepper
3. Nut

IV. Chemicals

V. Materials
1. Metal
2. Wood

VI. Snack
1. Chocolate


","1. Frozen Sardine Fish and Frozen Horse Mackerel: US$ 400 - 800 / 1 Metric Tonne  100 Metric Tonnes Minimum order
2. Fresh and Frozen Red Snapper Fish: US$ 350 - 550 / 1 Ton (UK)  1000 Tons (UK) Minimum order
3. Fish Fillet: US$ 25 / 1 Ton (US)  10 Tons (US) Minimum order 
4. High Quality Frozen Pangasius Fillet: US$ 800 - 1200 / 1 Ton (US)   2 Tons (US) Minimum order
5. Seafood, Frozen Fish, Shrimp, Frozen Squid, Fish Fillet , 3 Spot Crab , Blue Swimming Crab, Crab Clusters, Mackerel Fish, Etc: US$ 25 / 1 Ton (US)   10 Tons (US) Minimum order
",,,,,,,,,,,
52,"
8A Trading LLC",United States,"Company Overview
Exporting 200,000 tons every year
10,000sqm workshop|40 engineers|120 workers

Established in 2003
8A Trading was established in 2016. However, it has been engaged in export for many years since 2003. We are one of the leading wholesalers and distributors of basic commodities. Our company is specializing in manufacturing, wholesale, and retail.

Offering a Wide Range of Products
We have a wide range of products, including skin moisturizers, perfumes, lipsticks, fingernail polishes, eye and facial makeup preparations, shampoos, permanent waves, hair colors, toothpaste, and deodorants. We are also a leading trader of chemicals, construction boats, engine boats, motorcycles, waste cans, copper wire scrap, graphic cards, cream chargers, and more. We currently conduct business in different food and beverage sectors, ranging from chocolate, deodorants & antiperspirants, ice cream powder, detergent raw materials, shipping containers, etc. 

Contact Us
Should there be any further questions, please feel free to contact us.","Producer, Distributor","1. Exporter
2. Importer
3. Distributor
4. Manufacturer
5. Wholesaler
6. Trading Company
7.  Retailer",http://www.globalsources.com/8atrading.co,"Address: 3060 Majestic Park Ct
City: Duluth
Region: United States
State / Province: Georgia
Zip /Postal Code: 30096","Mr. Pan Yunyun
Yunyun Pan",,,,"Established: 2003
Total Annual Sales: US$90,000,000 to 94,999,999
Export Percentage: 85 percent to 89 percent
OEM Service: Yes
Small Orders Accepted: Yes",Supplier,,"I. Seafood
i. Fish
1. Mackerel Fish
2.  Tilapia Fish
3. Salmon
ii. Shrimp
iii. Lobster
iv. Crab
v. Frozen Clams
vi. Squid

II. Processed Food

III. Materials

IV. Oil
1. Vegetable Oil

V.Spices
","1. Wholesale Frozen Mackerel Fish High Quality Frozen Pacific Mackerel Fish Supplier: US$ 250 / 1 Metric Tonne
19 Metric Tonnes Minimum order
2. Fillet Tilapia Fillet Price Wholesale Frozen Fillet 5-7 Oz Of Tilapia Fish: US$ 300 / 1 Metric Tonne   23 Metric Tonnes Minimum order
3. Salmon Fish Frozen Fillet Fresh And Frozen Atlantic Salmon Fish/Whole Frozen Salmon/Salmon: US$ 300 / 1 Metric Tonne      23 Metric Tonnes Minimum order
4. Buy Frozen Atlantic Salmon Bellies For Sale / Whole Salmon Fish HON / Frozen Salmon Bellies / Frozen Salmon Fillet Trimed: US$ 300 / 1 Metric Tonne   23 Metric Tonnes Minimum order",,,,,,,,,,,
53,"TRADE IT ALL, LLC",United States,"10 years of experience in pharmaceutical chemical synthesis of intermediates
Export to over 60 countries|Product purity of 99.9%|Factory direct sales

Since 2014
Established in 2014, TRADE IT ALL, LLC. is a professional producer of chemical raw materials with more than 10 years of experience in production, organic intermediates, and fine chemicals.

Our equipment
We have a high-level technical R&D team and the most advanced equipment, as well as a good scientific research atmosphere to ensure product quality. The main supplies we can provide are organic intermediates, cosmetics raw materials, synthetic materials intermediates, chemical reagents, chemical synthetic flavors and spices, food additives, and other products, with many domestic and foreign to establish cooperative relations.

Inquire now
Should you have any questions, please feel free to get in touch with us.",Distributor,"1. Trading Company
2. Wholesaler
3. Online Seller
4. Manufacturer
5. Retailer,?Distributor",http://www.globalsources.com/tradeitall.co,"10020 Southwest 11th Street, 33025 Pembroke Pines, Florida, United States of America/US","Mr. Monica L Julian
sales manager",,,,"Established: 2014
Total Annual Sales: US$200,000 to 299,999
OEM Service: Yes
Small Orders Accepted: Yes
Export Markets
 Asia, Eastern Europe, Central/South America,Australasia Western Europe, North America, Mid East/Africa",Supplier,,"I. Seafood
i. Fish
1. Mackerel Fish
2.  Tilapia Fish
3.  Alaska Pollock
4. Tuna Fish
5. Stock Fish
6.  Salmon Fish

ii. Clam 
iii. Crab
iv. Shrimp
v. Lobster

II. Poultry and Livestock
1. Chicken
2. Pork
3. Lamb

IV. Agricultural Need 
1. Animal Feed
2. Fertilizer

V. Chemical
1. Powder
2. Liquid

VI. Materials
1. Wood
2. Crystal

VII. Agricultural 
1. Nut

VIII. Spices

","1. Wholesale Frozen Mackerel Fish For Sale / Wholesale Prices Frozen Mackerel Fish / All Size Frozen Mackerel Fish For Sale:US$ 750 / 1 Metric Tonne  22 Metric Tonnes Minimum order
2. Wholesale Frozen Mackerel Fish / High Quality Frozen Pacific Mackerel Fish / Frozen Atlantic Mackerel For Sale: US$ 750 / 1 Metric Tonne     22 Metric Tonnes Minimum order
3. Frozen Red Tilapia Fish / Wholesale frozen tilapia fillet fish / Buy Tilapia fish / Frozen Red Tilapia Fish For Sale: US$ 540 / 1 Metric Tonne  22 Metric Tonnes Minimum order
4. Frozen Seafood Tilapia for sale/ Wholesale frozen tilapia fillet fish /buy bulk tilapia fish / Frozen Red Tilapia Fish For Sale: US$ 540 / 1 Metric Tonne   22 Metric Tonnes Minimum order
5. Frozen Tuna Fish / Frozen Yellowfin Tuna Fish / Frozen Skipjack Tuna Fish / Frozen Tuna Fish Loins / Tuna Fish For Sale: US$ 750 / 1 Metric Tonne  22 Metric Tonnes Minimum order
6. Wholesale Supplier of Frozen & Fresh Tuna Fish / Frozen Yellowfin Tuna Fish / Skipjack Tuna Fish / Tuna Fish Loins / Tuna Fish: US$ 750 / 1 Metric Tonne   22 Metric Tonnes Minimum order
7. Whole Alaska Pollock / Alaska Pollock Fillets / Dry Salted Alaska Pollock For Sale: US$ 750 / 1 Metric Tonne  22 Metric Tonnes Minimum order
8. Dry Stock Fish For Sale: US$ 550 / 1 Metric Tonne  22 Metric Tonnes Minimum order
9. Buy Frozen Atlantic Salmon Bellies For Sale / Whole Salmon Fish HON / Frozen Salmon Bellies / Frozen Salmon Fillet Trim D: US$ 3 / 1 Kilogram  1000 Kilograms Minimum order
10. Fresh/Frozen Atlantic Salmon Fillet | Salmon Fish Fillets (Salmo salar) | Trim C,D & E | Skin-On and Skinless(Skin off) For Sale: US$ 4 / 1 Kilogram  1000 Kilograms Minimum order
11. Atlantic Salmon Head / Atlantic Salmon / Frozen Whole Salmon Fish / Frozen Salmon Bellies / Frozen Almon Fillets For Sale: US$ 2 / 1 Kilogram  500 Kilograms Minimum order",,,,,,,,,,,
54,ANPLUS TRADING INC,Canada,"Company Overview
Exporting 120,000 containers every year
10,000sqm factory|110 R&D engineers|1,000 skilled workers

Producing Over 100,000 Bags Monthly
ANPLUS TRADING INC has over 10 years of bag manufacturing experience. Our factory covers more than 13,000sqm and employs over 300 experienced sewing workers, who maintain a monthly output of 100,000 pieces.

Meeting EN71, CPSIA, REACH and RoHS Standards
Our company has professional clerks who enable us to supply famous partners including Ariat, Ogio, Target, Walt Disney and Mountain. Our strict management makes sure that our products meet customer requirements and demands for different market levels, and our experienced QC teams mandate high quality and quantity. We use only eco-friendly fabrics that can meet EN 471, CPSIA, REACH and RoHS standards, and all our products for children are submitted to TUV for testing before shipment.

Answering Inquiries Within 24 Hours
Our professional sales personnel will respond to inquiries within 24 hours. Contact us now to begin sourcing.

Top Selling Brands
1. Beverages:

Carbonated Soft Drinks: Coca-Cola, Pepsi, and Sprite remain giants globally.
Bottled Water: Increasing in popularity; major players include Nestl?Pure Life and Aquafina.
Juices: Tropicana and Minute Maid are widespread, though trends favor ""healthier"" options.
Instant Coffee: Nescaf?dominates this market, particularly in emerging economies.
Tea: Lipton and Tetley are global brands, but local/regional teas are also huge.

2. Food:

Dairy: Yogurt (Danone, Yoplait), cheese (Kraft), and milk are staples.
Snack Foods: Lay's, Oreo, and Pringles are international powerhouses.  
Confectionery: Chocolate (Cadbury, Mars), candy (Haribo), and gum (Wrigley's) are consistent.
Instant Noodles: A major convenience food, with Maggi, and Indomie being big players.
Sauces/Condiments: Ketchup (Heinz), mayonnaise (Hellmann's), and soy sauce vary by region.

3. Personal Care:

Oral Care: Colgate, Oral-B dominates toothpaste and toothbrush markets.
Hair Care: Head & Shoulders, Pantene, and Dove are widely used shampoo brands.
Skin Care: Nivea, Dove, and L'Oréal have large market shares in lotions and creams.
Toilet Paper: Charmin and Angel Soft are examples, but this is often regional.

4. Home Care:

Laundry Detergents: Tide, Ariel, and Persil are top contenders.
Dishwashing Liquids: Fairy, Dawn, and Palmolive are common choices.  
Household Cleaners: Clorox, Lysol, and Mr. Muscle are well-known.","Producer, Distributor","1. Agent
2. Online Seller
3. Exporter
4. Retailer
5. Importer
6. Trading Company
7. Distributor
8. Manufacturer
9. Wholesaler",http://www.globalsources.com/anplus.co,"140 Cummer Ave, M2M 2E4 Toronto, Ontario, Canada/CA","Mr. LI JIAHAO
CEO",,,,"Established: 2005
Total Annual Sales: US$30,000,000 to 34,999,999
Export Percentage: 85 percent to 89 percent
OEM Service: Yes
Small Orders Accepted: Yes
Brand Names: Pampers, Unilever, Nivea, Dove, Procter & Gamble, Revlon, Cerave, Stanley, Nestle, Pepsico, Coca Cola, L'Oreal, Red bull, Oral-B, Head & Shoulders, Febreeze, Olay, Pantene,Downy, Ariel, Dawn, Mr. Clean, Tide, Bounty, Crest, Pringles, Gillette.
Payment Terms: T/T, L/C, DAP, DDP, WU & MG
Main Competitive Advantages
Buyer's Specifications Accepted, Experienced R&D Department, Large Product Line, OBM (Own Branding & Manufacturing), ODM (Original Designing & Manufacturing), OEM Capability, Production Capacity, Reliability, Reputation
Export Markets: Asia, Australasia, Central/South America, Eastern Europe, Mid East/Africa, North America, Western Europe",Supplier,,"I. Seafood
i. Fish 
1. Hake Fish
2. Stockfish 
3. Tuna
4. Red Seabream Fish
5. Mackerel Fish 
6. Salmon
7. Red Tiapia Fish
ii. Crab
iii. Lobster 
iv. Shrimp 
v. Scallop 
vi. Octopus      

II. Snack 
1. Chocolate
2. Beverages
III. Agricultural Need
IV. Material 
1. Wood
V. Daliy Necessity
1. Baby Products
2. Electric Bike
3. Drones
","1. Available Stock Of Frozen Hake Fish/ Frozen Hake Fillet Fish Wholesale Good Quality Frozen Hake Fish fillet Product: 
US$ 240 - 280 / 1 Ton (UK)   10 Tons (UK) Minimum order
Quantity                              FOB Price
10?9 Tons (UK)                 US$ 280
20?9 Tons (UK)                 US$ 270
30?9 Tons (UK)                 US$ 260
40?9 Tons (UK)                 US$ 250
>= 50 Tons (UK)                  US$ 240 

",,,,,,,,,,,
